lang,word,avg_entropy,count
latin,down,0.0545289369220549,63
latin,der,0.0591415695521658,102
latin,die,0.0674644479362801,56
sign,|,0.0841739815090679,1080
latin,endoftext,0.0841739815090679,540
latin,und,0.0850227510635359,58
sign,>,0.088850869280524,548
sign,<,0.0911179950314635,548
latin,English,0.2305144574495924,317
latin,my,0.2486096768136901,56
latin,be,0.2890926909794002,398
latin,of,0.323220961181472,935
latin,time,0.3357885713438606,67
latin,to,0.3605156811947714,1158
latin,his,0.3739301193514043,82
sign,),0.3763794983977057,165
latin,them,0.3820554463972803,50
sign,-,0.4209833464530022,78
latin,by,0.4535761068000769,150
sign,(,0.4680250088292492,167
latin,or,0.4817765314680746,187
latin,but,0.4821258446120267,153
latin,not,0.48363943315385,287
sign,",",0.4867890107985204,2058
latin,you,0.5103070534187956,81
latin,game,0.5135018511456211,72
latin,the,0.5241168055431776,2969
latin,with,0.5380751806525393,281
latin,for,0.5606146855573277,478
latin,and,0.5635720952261721,1145
latin,it,0.574235725416964,402
sign,"""",0.5785462562729816,2413
sign,:,0.585398913599603,258
sign,.,0.5896153270999711,2857
latin,on,0.5945599667707718,323
latin,this,0.6022230234522928,149
latin,translate,0.6101346811368352,105
latin,more,0.6118432741751423,74
latin,This,0.6207473981468117,51
latin,should,0.6295813453059805,69
latin,translated,0.6341632967757235,91
latin,as,0.6387132059500173,244
latin,been,0.647249825527196,79
latin,how,0.6636092888477904,52
latin,If,0.6675577659043483,64
latin,device,0.674907313862462,83
latin,were,0.6764792002878883,56
latin,from,0.6805184816976014,220
latin,are,0.681258191749201,236
latin,their,0.685359532262004,134
latin,translation,0.6855544298214008,166
latin,an,0.7005382108908103,101
latin,at,0.712578169174958,165
latin,that,0.7178459524053422,519
latin,in,0.7408001005371446,944
latin,only,0.7458705598170887,79
latin,one,0.7488753097037457,74
latin,me,0.753642495842387,53
latin,good,0.7697458190913682,63
latin,I,0.7745324226208596,313
latin,will,0.7881675555358275,224
latin,then,0.8012629806762561,74
latin,a,0.8077604691540305,1224
latin,people,0.8107490616366116,62
latin,means,0.8334072920681058,230
latin,which,0.8357547557421235,117
latin,have,0.8593629621133166,157
latin,need,0.8594700866794612,56
latin,would,0.8626481340342091,51
latin,they,0.8743473784493593,195
latin,into,0.875291331741859,168
latin,parts,0.8870589257986284,50
latin,was,0.8880785548436597,191
latin,who,0.904164504197039,89
latin,if,0.9134401119405604,70
latin,two,0.9151389813524412,86
latin,has,0.9242271237703018,171
latin,after,0.9259082654599048,69
latin,very,0.9271298474431487,87
latin,broken,0.9292667968706652,55
latin,there,0.9745439483624068,80
latin,German,0.9768148643695432,339
latin,its,1.00309187478171,68
latin,They,1.029326335998413,81
latin,However,1.0425484350645076,51
latin,It,1.0680238213149251,58
latin,can,1.1273415268503912,257
latin,also,1.192818868536947,201
latin,had,1.2437149204232405,83
latin,In,1.2480533134961582,92
latin,is,1.2496314171418577,1121
latin,about,1.2705164329446703,283
latin,text,1.3958006986696274,150
latin,mentions,1.4736266778627671,99
latin,asking,1.479338024080414,97
latin,first,1.5202331583311135,78
latin,wants,1.5668508583935452,102
latin,user,1.758854953285537,441
latin,phrase,1.7987351726387717,64
latin,The,1.943577588400471,1357
