lang,word,avg_entropy,count
latin,maintain,1.160563095808029,300
latin,context,1.1169827218625634,62
latin,words,0.7860301385001953,119
latin,terms,0.76456338532269,50
latin,meaning,0.6697359838846213,291
latin,phrases,0.6097236998080543,449
latin,had,0.5692194574900592,60
latin,there,0.523794870294484,58
latin,at,0.4484025762788003,141
latin,In,0.4200845623774741,111
latin,key,0.4039331274440414,475
sign,',0.3921883900879164,58
latin,about,0.371305939443398,50
latin,have,0.3625650107078679,130
latin,has,0.3588722590635905,85
latin,will,0.318044299449844,123
latin,Identify,0.3126122988041303,518
latin,also,0.3052278456646418,119
latin,you,0.3044134389714873,111
latin,been,0.3010088525881353,60
latin,it,0.298834000948887,235
latin,after,0.2985640357830383,53
latin,only,0.2971416342685341,61
latin,that,0.2951635551082721,227
latin,very,0.2875896406357511,71
latin,a,0.2805476073302482,493
latin,on,0.2778272853907125,221
latin,more,0.2753284572241706,56
latin,is,0.2708400698004605,417
latin,as,0.2695724778692977,148
latin,was,0.2671923628563297,165
latin,The,0.262233393601906,320
sign,/,0.260986806989165,54
latin,are,0.2508143810075943,138
latin,with,0.2471473790239929,177
latin,by,0.2468801912844792,87
latin,were,0.2400464127215575,52
latin,Translate,0.2371361044003121,549
latin,the,0.224459676533504,2241
latin,this,0.2093051312356335,117
latin,which,0.2058449577272675,54
latin,for,0.1911968684559011,265
latin,an,0.1906209964128927,156
latin,If,0.1890376597334286,62
latin,can,0.1841573893855589,120
sign,"""",0.1653844288823242,1798
latin,so,0.162102696991812,116
sign,.,0.1612477834391091,4103
latin,not,0.1565192123504641,184
latin,in,0.1466211094804671,736
latin,be,0.1457362976257194,199
sign,!,0.1328409439947276,106
latin,or,0.1326729275537904,74
latin,I,0.1195950496379549,250
latin,but,0.1040077908888485,62
latin,his,0.1000096982073762,66
latin,of,0.0947575552113216,568
latin,my,0.0933517181836714,50
latin,and,0.0910693169898414,1099
sign,?,0.0874617411258961,76
sign,",",0.0825005094035161,2302
sign,#,0.0801608290303612,65
sign,),0.0751357394285821,200
latin,from,0.0737066668108335,639
latin,time,0.0730373423296794,57
sign,-,0.0705764868010973,184
latin,to,0.0659475801414049,1060
latin,am,0.0651960743614257,110
sign,:,0.0515562343264524,321
sign,(,0.0402443793758557,199
latin,Der,0.0243111823733817,62
latin,hat,0.02243465440706,73
latin,Das,0.0195270213273553,70
latin,Ich,0.0193790202970643,68
latin,wie,0.017200463585154,69
latin,sehr,0.0163034391123186,71
latin,Die,0.015184810434174,156
latin,ist,0.014858564000718,249
latin,aber,0.0106540283884477,65
latin,English,0.0091570441541622,553
latin,German,0.008371796399422,569
latin,für,0.0083689249314362,142
latin,eine,0.0078337037984732,117
latin,kann,0.0077818367014728,94
latin,man,0.0076408610152469,96
latin,es,0.0075465738219521,154
latin,habe,0.0072902633881543,63
latin,auf,0.0071985627167732,218
latin,mehr,0.0071519599236232,51
latin,nur,0.0070833733213172,66
latin,war,0.0069533859823921,73
latin,einem,0.0064048680488939,77
latin,und,0.0056708219286128,540
latin,sind,0.0054097377465097,81
latin,der,0.0045605745577859,608
latin,noch,0.0044740262806174,70
latin,werden,0.0041581358631747,127
latin,einen,0.0038647454644483,72
latin,wird,0.0036742072562037,91
sign,<,0.0035040727836181,559
