lang,word,avg_entropy,count
latin,describing,1.5815830651919047,75
latin,user,1.482095975963148,1561
latin,expressing,1.4763790736466926,53
latin,phrase,1.4730061767356455,236
latin,The,1.3323355073257293,2390
latin,asking,1.1234137573862966,241
latin,given,1.0562645031555074,327
latin,means,1.023210919566918,135
latin,needs,0.9096074572004288,76
latin,sentence,0.9041262323862052,1203
latin,about,0.902084257264266,248
latin,can,0.8786373956669886,213
latin,while,0.8621794425416738,52
latin,wants,0.8393343905425343,1143
latin,They,0.8336177471872612,58
latin,character,0.821065547921902,52
latin,situation,0.8080701092433817,53
latin,their,0.7851926180367439,222
latin,had,0.7600541467298613,66
latin,text,0.7579784035541467,277
latin,me,0.7528339376094701,1170
latin,just,0.7504109686685791,57
latin,when,0.7490205250375952,93
latin,each,0.7435551290719897,51
latin,It,0.7271967248049871,82
latin,which,0.7099496341452091,157
latin,very,0.704065622048747,133
latin,they,0.6988652597446503,244
latin,delivery,0.6834755076716343,60
latin,is,0.6793643529864098,1532
latin,being,0.6618681060541322,67
latin,product,0.6455084850122494,138
latin,have,0.6406100059022753,211
latin,its,0.6225748719221509,85
latin,there,0.613445907653903,131
latin,In,0.6080908654689495,134
latin,code,0.6008856906356975,68
latin,a,0.5943557877792308,2396
sign,-,0.5920436815769355,92
latin,where,0.580990074283106,53
latin,so,0.5723826701831145,84
latin,at,0.5691795304773123,152
latin,using,0.5601471667224149,52
latin,who,0.5597345713462029,63
latin,good,0.5560164516506773,131
latin,any,0.5506286416320074,53
latin,A,0.5473252789662076,51
latin,I,0.5467497932272667,619
latin,has,0.5444183123361654,240
latin,also,0.5436204853156328,183
latin,still,0.533676880704661,78
latin,an,0.5294648101186659,127
latin,used,0.5285383104811643,78
latin,in,0.5233826611329097,1177
latin,after,0.5093808824000566,65
latin,was,0.5075622904822731,310
latin,with,0.5070838019336702,426
latin,said,0.5060081320407335,88
latin,like,0.5008025786884429,54
latin,one,0.4997860111376736,92
latin,all,0.4990834487009942,101
latin,are,0.497649022049526,361
latin,bought,0.4867677007889564,69
latin,more,0.483692303498643,117
latin,Chinese,0.4827367775101842,1713
latin,characters,0.4778765027896461,89
latin,it's,0.4746025720967177,65
latin,if,0.4657677970780264,82
latin,need,0.4649852469123693,126
latin,will,0.4613028943272864,214
latin,it,0.460671401384526,732
latin,experience,0.4519456084058822,66
latin,only,0.4499363650527848,84
latin,United,0.4403652951493859,50
latin,that,0.4351373825824515,642
latin,into,0.4348343286076492,826
latin,new,0.4345860424641906,109
latin,may,0.42820253629543,70
latin,were,0.4277508034189955,104
latin,should,0.4173648397199082,53
latin,This,0.4163648605547981,84
latin,for,0.4138457089520506,720
latin,this,0.4124950275154179,236
latin,price,0.4117141669523276,62
latin,two,0.4053254284927377,101
latin,some,0.4030524845103434,67
latin,them,0.3984203661843665,58
latin,the,0.3958406396898695,4248
latin,such,0.3926808056436848,81
sign,"""",0.3919625594050191,1840
sign,?,0.3902994932553459,57
latin,and,0.3873911688945976,2286
latin,GB,0.3872503840167545,56
latin,you,0.3776291692232018,79
sign,/,0.3763003723200457,67
latin,or,0.3761022965087563,258
latin,first,0.3759651656684178,90
latin,as,0.3748950871922152,316
latin,been,0.3713564359065693,124
latin,quality,0.3699736999763644,80
