lang,word,avg_entropy,count
latin,The,2.800282443367894,1633
latin,talking,2.5869550711940974,64
latin,expressing,2.5594709316889444,201
latin,first,2.345004848368089,84
latin,asking,2.3019559273632173,233
latin,describing,2.2020797245484545,133
latin,phrase,2.164311638961618,104
latin,sentence,2.07264058176934,162
latin,user,2.0551276831451726,1123
zh,很,1.965092972440775,86
zh,就,1.9484602292550024,58
zh,这,1.9173658018516115,121
latin,statement,1.9122494939448575,56
zh,已经,1.8960513967102848,69
latin,also,1.8725769974392288,226
latin,situation,1.869783568329045,112
latin,using,1.832219207810389,74
latin,mentions,1.804344775819681,113
zh,好,1.8032330878078937,60
zh,这个,1.7825638319998276,106
zh,有,1.7525173842214927,126
zh,从,1.7524909301329468,59
zh,不,1.7500780368356832,105
zh,也,1.726263713138178,60
zh,在,1.7091273710892807,411
zh,让,1.6647349795297024,63
zh,对,1.6325691851448487,89
latin,wants,1.6194126877669224,169
zh,可能,1.6025685804541892,71
zh,没有,1.59893584018083,95
zh,会,1.5967339631727515,71
zh,你,1.5901227588130442,237
zh,都,1.576942674307536,85
latin,mention,1.576263129203451,72
zh,来,1.5626883905766031,52
zh,一个,1.549106409332877,184
latin,given,1.5163245699791743,110
zh,与,1.5160181440287042,61
zh,“,1.514127747528255,100
zh,将,1.5120032779318655,111
latin,is,1.509336410537646,1643
zh,是,1.4987565281327069,355
zh,并,1.493558982456172,54
zh,因为,1.4810594081846546,58
zh,我,1.47969470605535,621
latin,has,1.469084020663246,147
zh,被,1.4199005776307578,114
latin,text,1.3951077660066742,175
zh,更,1.383915066551895,78
latin,meaning,1.3810777126997709,50
zh,它,1.3788994587000496,152
zh,一些,1.3682139675880676,52
zh,可以,1.3654930674169652,68
latin,which,1.3577311712843194,162
zh,所以,1.345755429490021,54
zh,需要,1.3405000194397871,64
zh,这些,1.3184823651918796,54
latin,They,1.3127289433182048,171
latin,are,1.3121820330773175,293
latin,being,1.2967348753611856,70
zh,他们,1.2817113083445029,166
latin,I,1.262695025646064,168
latin,will,1.2600941547639726,163
zh,但,1.2587767101251162,130
zh,知道,1.2529754075579915,52
zh,人,1.2334388735201045,56
latin,translate,1.2329264344044135,142
sign,#,1.2182064588445969,74
zh,了,1.2146078052110243,492
zh,我们,1.2138972045811611,199
zh,他,1.2030621632700786,160
zh,为,1.2009281051013834,65
latin,He,1.1511308485517344,56
latin,something,1.1386247632814048,70
latin,not,1.1355510629903518,180
latin,can,1.1322188725443991,144
latin,who,1.1302144164564434,81
zh,到,1.1237454268452036,69
latin,they,1.1205178980675017,399
latin,about,1.1184042425731158,358
zh,中,1.1180778944915388,106
latin,how,1.113809660384905,59
latin,their,1.1113067974024982,379
latin,then,1.1082214284945031,102
zh,说,1.0864569669390152,52
latin,where,1.0801880624239857,128
zh,的,1.052247112068911,1645
sign,！,1.0480184689273728,68
latin,a,1.02265974719118,1719
latin,translation,1.0221008926959163,249
zh,上,1.007295687673019,94
latin,or,1.0050069454650536,287
latin,if,0.9903485352669152,93
latin,that,0.9661014247964116,728
latin,have,0.9592802676377366,136
latin,me,0.9437945327347256,93
sign,.,0.8912737358503042,2639
latin,know,0.8910431891943178,59
zh,她,0.887100765378535,61
sign,(,0.8798449283694627,59
