lang,word,avg_entropy,count
latin,To,3.318255193395286,711
ja,その,2.327248030669926,168
ja,今,2.288257088004612,50
latin,tone,2.2853758653074925,71
ja,私,2.0473032769916726,538
ja,それ,2.046894991300551,251
ja,「,2.007875930603692,152
ja,これ,2.0068619245042405,126
ja,良い,1.9864561278559267,50
latin,individually,1.925507053622493,135
ja,すべて,1.8921383562839675,79
latin,while,1.8801107972453728,207
latin,After,1.87873609136524,105
ja,また,1.8728489461599995,76
ja,この,1.8141407922015225,142
ja,何,1.8064450816430075,99
ja,あなた,1.7971713889506349,131
latin,also,1.7508447634202184,96
latin,terms,1.7352443079437587,114
ja,見,1.720953313674647,57
latin,consider,1.7179697286791915,82
ja,一,1.7139354947922667,55
latin,construct,1.70616182636981,224
ja,ら,1.6710889673479514,184
ja,数,1.5796416715088957,53
ja,もの,1.5792167246119555,109
ja,こと,1.5654867741197285,352
latin,has,1.5570018233950385,61
ja,可能,1.550684655434452,62
ja,彼,1.548499586677088,293
latin,arrange,1.5327004187486388,88
ja,より,1.513575241002528,85
ja,よう,1.5075151474117554,222
ja,しかし,1.4952739762213034,79
ja,そして,1.4854326373459958,149
latin,first,1.4699413629242055,797
ja,だっ,1.4657798575632883,73
ja,言っ,1.4564258630403824,57
latin,The,1.456189298856883,518
ja,ため,1.4543697452217412,156
latin,words,1.442012283890517,527
ja,中,1.4163656627656396,54
ja,だ,1.3834692882457085,168
latin,break,1.3709389354993586,343
latin,context,1.3688872664970146,282
ja,も,1.3509977930669466,253
latin,grammar,1.3154745880359162,96
latin,find,1.314361543859036,640
latin,identify,1.292571401253583,496
ja,ながら,1.2890251593053108,56
latin,text,1.2399299159040296,615
ja,でき,1.2393175637251452,95
ja,する,1.236814830337428,426
ja,つ,1.2316848755722023,91
ja,ない,1.2314297095826572,241
ja,ある,1.230928757027279,210
ja,に,1.2272731899374842,1917
ja,人,1.216818385279427,75
ja,性,1.2099211237437852,83
latin,about,1.199040686277499,128
ja,か,1.1989316524248077,330
latin,is,1.197865396886492,720
latin,Now,1.1900683112198749,128
ja,で,1.1889729085235712,959
ja,と,1.173594968978487,795
ja,必要,1.1728573502307893,83
sign,！,1.1572411422343816,85
latin,translate,1.1464441079259309,1232
latin,phrase,1.1380640090093948,140
ja,です,1.1374045141939149,435
sign,@,1.1304271491818954,77
ja,あり,1.124096903693991,181
ja,れる,1.1130126270537193,52
latin,key,1.1122944978771792,465
ja,て,1.104730043494666,1244
ja,し,1.0904194232983324,960
latin,I,1.088884683819615,1798
ja,から,1.0869211113518926,249
ja,いる,1.077914251498968,311
latin,equivalents,1.0774010802927096,124
ja,や,1.07187569992601,59
latin,main,1.0718722888305197,254
ja,を,1.071718396337599,1832
ja,の,1.0691172966760043,2708
ja,人々,1.0674294609203934,50
ja,が,1.057217632032895,1368
ja,1,1.0423241801436087,247
latin,subject,1.042203721481686,60
ja,は,1.0333031922838094,2113
latin,smaller,1.018366604550358,136
ja,たち,1.0020119428496317,162
ja,ます,0.990327450814836,650
latin,combine,0.9859345892518758,250
ja,ください,0.9840421893890818,58
latin,then,0.9803006353663856,768
latin,translations,0.977678722082113,302
latin,appropriate,0.9764768126145256,656
latin,complete,0.962643998439687,92
ja,さ,0.958329306641293,251
latin,given,0.9544079788667816,700
