lang,word,avg_entropy,count
zh,我,2.414525631951103,162
latin,talks,2.3123866547095147,95
latin,The,2.2086751469641936,4624
latin,given,2.175537812065274,126
latin,talking,2.1323328663195884,70
latin,seems,1.9064383319256684,78
latin,phrase,1.841884506985985,378
latin,describing,1.7560380874408374,214
latin,sentence,1.7383985758631626,1641
zh,表,1.7117168022484073,74
latin,expressing,1.6950724893517106,291
latin,word,1.60852299417267,73
latin,mentions,1.6066519510371522,191
latin,final,1.5920886144042017,50
latin,asking,1.585780124619878,573
latin,user,1.579885319636762,1728
latin,It,1.5778935728186183,114
latin,discussing,1.5217746388574596,50
latin,Prime,1.5018070733503384,51
latin,wants,1.4995498080074572,139
latin,meaning,1.4844877472119953,51
latin,In,1.4591365212899283,218
latin,text,1.4188296826618478,295
latin,states,1.4174063993245365,50
latin,situation,1.369334341154811,131
latin,specific,1.3285179420297852,86
latin,This,1.3279663065355272,150
latin,A,1.3039055771068282,60
latin,term,1.300658928296436,93
latin,mentioning,1.2925982807047558,69
latin,about,1.278059053624922,942
latin,can,1.276471536958272,770
zh,在,1.241020443939359,191
latin,is,1.2288163740990363,4262
latin,mention,1.2198154169933595,159
latin,called,1.2087057068005935,52
latin,key,1.1910878828463676,53
latin,related,1.1730629853555,58
latin,being,1.1684318965270704,131
latin,would,1.143272520511389,84
latin,just,1.1356041565692674,51
latin,dissatisfaction,1.12557569121369,89
latin,needs,1.118336646213843,59
latin,work,1.1147721270861273,55
latin,now,1.1143456927966326,56
latin,character,1.1052973124235137,102
latin,shipping,1.07898671990052,67
latin,refers,1.076887643786571,153
latin,type,1.0585168098406277,63
latin,which,1.054903661419444,438
latin,using,1.0505096716145954,119
latin,various,1.0503437764911605,75
latin,also,1.0492289578984253,411
latin,without,1.0424697407661885,53
latin,two,1.0384769012113646,310
latin,words,1.0347056205071818,58
latin,when,1.0281617702477666,114
latin,first,1.0267474015577902,202
latin,do,1.0207521241128203,62
latin,If,1.015984080192682,57
zh,将,1.0154104448653156,104
latin,so,1.006937077116414,116
latin,purchased,1.003979549562979,62
latin,after,1.00321628047725,67
zh,这,0.9943967596750904,52
latin,I,0.9900220087633926,628
latin,how,0.9860811546639427,76
latin,US,0.9854241977885084,53
latin,process,0.9829541082101994,109
latin,However,0.9817483805676348,86
latin,had,0.9763466512098125,95
latin,They,0.9653344277915146,298
latin,overall,0.9623946324356046,51
latin,three,0.9570530782205152,74
latin,components,0.9566543056017786,92
latin,received,0.9514978319256604,73
latin,provide,0.9507499910181764,80
latin,very,0.9449606975994822,123
latin,caused,0.9395671294746446,51
latin,both,0.9379645776238338,61
latin,have,0.9372892941735488,367
latin,problem,0.9307456064894464,56
latin,expected,0.9252000190283524,56
latin,then,0.922663417669102,97
latin,something,0.918559017238828,75
latin,there,0.915146567656602,148
latin,who,0.912846511867413,175
latin,during,0.9101956904793544,58
latin,delivery,0.9066112477851744,143
latin,means,0.9055038510669304,642
latin,size,0.9045592807570324,76
latin,due,0.90191333360128,73
latin,parts,0.8842305426153353,214
latin,broken,0.8757661013843621,223
latin,does,0.864779048734015,68
latin,has,0.8576158925298722,598
latin,On,0.8560622279406883,52
latin,need,0.8557442135857213,272
latin,in,0.8522227983778496,2378
latin,because,0.8520522942001167,57
