lang,word,avg_entropy,count
ja,その,3.2293575097141094,156
ja,それ,3.0656895724902475,133
latin,talking,2.791044648079311,68
ja,私,2.7091425644473794,326
latin,The,2.7040840124282117,1664
ja,そして,2.674151372341883,63
ja,この,2.642035785523441,165
latin,expressing,2.5817729556283284,215
ja,あなた,2.564420484434599,116
ja,何,2.539579011377741,61
ja,また,2.466340403023519,76
ja,これ,2.4352979165442448,94
ja,すべて,2.42571903445891,56
ja,「,2.3268262394879646,106
ja,より,2.296763017800623,69
ja,彼,2.2689403695758523,164
ja,しかし,2.2556901284390025,72
latin,describing,2.250908992639402,123
ja,ら,2.230863351314501,108
latin,asking,2.198277509295324,226
latin,understand,2.1544600601854,58
ja,もの,2.1374500077825203,92
latin,first,2.123189290912459,118
latin,user,2.10087707728764,1210
ja,よう,2.086343517831033,170
ja,ため,2.084528687099616,177
latin,phrase,2.056026311175337,103
latin,using,2.013544263979555,69
latin,also,2.0080435696213983,197
latin,situation,1.9609735743896592,105
latin,sentence,1.9471784147157056,185
ja,可能,1.9292355578108984,64
ja,こと,1.8926447069111043,329
latin,mentions,1.7394506099020564,82
ja,も,1.7087318627806407,173
latin,I,1.6878694656125266,193
ja,必要,1.6601679837605094,68
ja,でき,1.6147073587486285,78
ja,性,1.5976288642641157,75
latin,wants,1.588268013719904,299
ja,ない,1.5632118814183065,156
latin,is,1.5598101800968365,1503
ja,者,1.5539535788389354,52
ja,ある,1.5461363979112848,152
ja,つ,1.5437941268618618,70
ja,に,1.538816561735982,1356
ja,で,1.529712306259665,648
ja,1,1.5195866188879337,80
latin,They,1.516530762260505,129
latin,meaning,1.4882384935839914,71
ja,か,1.4846987966953762,261
ja,です,1.4794276799233297,350
latin,given,1.4786665173339062,122
ja,と,1.4501384100884105,633
ja,する,1.43834447820984,351
ja,の,1.4246238757429923,1971
ja,から,1.4090375004604152,146
ja,2,1.3924381503509138,53
ja,あり,1.3896876419359154,174
ja,や,1.3848388059996068,70
ja,を,1.3758690380010956,1485
latin,text,1.373584352654469,232
latin,has,1.371383315025442,136
latin,being,1.3490881647432356,70
latin,are,1.3374327284943186,267
latin,provide,1.333414452560877,59
ja,彼女,1.3256687230220243,62
ja,し,1.324756199042623,750
latin,which,1.3110382498707622,144
latin,can,1.3007772414391672,138
ja,な,1.2955819761931866,333
ja,ませ,1.293961679140697,130
ja,いる,1.2916239168205197,225
ja,ん,1.27613297049205,131
ja,的,1.2720694187609811,139
ja,が,1.268185902256172,1112
ja,たち,1.2642167525488477,97
ja,は,1.2443631560879391,1561
ja,て,1.234285734096268,1006
latin,will,1.1883543403018066,186
sign,、,1.1858665740243568,2269
ja,さ,1.1840431371083744,165
latin,their,1.1813331374031797,357
ja,た,1.175176999131365,963
sign,#,1.172844981121128,57
latin,who,1.164363365209283,64
latin,translate,1.1337904855192706,179
latin,they,1.1289824696223036,324
latin,something,1.1267218661629848,74
ja,ます,1.1250854380169746,655
latin,that,1.122357698823276,567
latin,know,1.1186225317120688,68
latin,where,1.1133974927708232,109
ja,まし,1.1119746418676495,279
latin,not,1.1086082965436317,141
latin,a,1.0706905972228449,1549
latin,me,1.068661606029397,124
ja,れ,1.0674671536823734,200
latin,if,1.0590337503836245,95
latin,or,1.0496858723219955,237
